cell_id,step_ix,simulation_i,sim_time,,
cell1,4798,9,264,,
cell2,4135,8,86.08333333,,
cell3,3600,7,164,,
cell4,4132,8,80.08333333,,
cell5,2469,5,198,,
cell6,2495,5,250,,
cell7,1007,2,718,,
cell8,5054,9,776,,
cell9,1264,3,84.08333333,,
cell10,1247,3,50,,
cell11,2043,4,494.0833333,,
cell12,192,1,236,,
cell13,4186,8,188,,
cell14,3327,6,766,,
cell15,2566,5,392.0833333,,
cell16,3517,7,0,,
cell17,1067,2,838,,
cell18,2446,5,152.0833333,,
cell19,4192,8,200,,
cell20,1426,3,408.0833333,,
cell21,1046,2,796,,
cell22,1227,3,10,,
cell23,4740,9,148.0833333,,
cell24,3440,6,992,,
cell25,660,2,24.08333333,,
cell26,2685,5,630,,
cell27,2417,5,94.08333333,,
cell28,3591,7,146.0833333,,
cell29,1032,2,768,,
cell30,4739,9,146.0833333,,
cell31,5409,10,338.0833333,,
cell32,4718,9,104.0833333,,
cell33,3596,7,156,,
cell34,3126,6,364.0833333,,
cell35,4124,8,64,,
cell36,4241,8,298,,
cell37,2216,4,840,,
cell38,2548,5,356.0833333,,
cell39,1854,4,116.0833333,,
cell40,1324,3,204,,
cell41,1478,3,512.0833333,,
cell42,4771,9,210,,
cell43,3156,6,424.0833333,,
cell44,1282,3,120.0833333,,
cell45,4149,8,114.0833333,,
cell46,3539,7,42,,
cell47,4228,8,272,,
cell48,3667,7,298,,
cell49,330,1,512.0833333,,
cell50,675,2,54,,
cell51,4738,9,144.0833333,,
cell52,520,1,892,,
cell53,4452,8,720,,
cell54,3662,7,288,,
cell55,87,1,26.08333333,,
cell56,1588,3,732,,
cell57,3541,7,46,,
cell58,4727,9,122.0833333,,
cell59,3720,7,404.0833333,,
cell60,1035,2,774,,
cell61,3198,6,508.0833333,,
cell62,5282,10,84.08333333,,
cell63,1355,3,266,,
cell64,1251,3,58,,
cell65,3292,6,696,,
cell66,5317,10,154,,
cell67,3533,7,30.08333333,,
cell68,681,2,66,,
cell69,539,1,930,,
cell70,4880,9,428.0833333,,
cell71,4814,9,296,,
cell72,1893,4,194,,
cell73,527,1,906,,
cell74,931,2,566.0833333,,
cell75,1307,3,170,,
cell76,1279,3,114.0833333,,
cell77,4738,9,144.0833333,,
cell78,1263,3,82.08333333,,
cell79,2532,5,324.0833333,,
cell80,3874,7,712,,
cell81,3587,7,138.0833333,,
cell82,3102,6,316.0833333,,
cell83,657,2,18,,
cell84,5444,10,408.0833333,,
cell85,3136,6,384.0833333,,
cell86,1267,3,90.08333333,,
cell87,4149,8,114.0833333,,
cell88,794,2,292,,
cell89,871,2,446.0833333,,
cell90,3258,6,628,,
cell91,4988,9,644,,
cell92,5561,10,642,,
cell93,175,1,202,,
cell94,2231,4,870,,
cell95,1444,3,444.0833333,,
cell96,156,1,164,,
cell97,1364,3,284,,
cell98,5296,10,112.0833333,,
cell99,144,1,140.0833333,,
cell100,2019,4,446.0833333,,
cell101,718,2,140.0833333,,
cell102,2466,5,192,,
cell103,293,1,438.0833333,,
cell104,1978,4,364.0833333,,
cell105,1986,4,380.0833333,,
cell106,299,1,450.0833333,,
cell107,1086,2,876,,
cell108,3025,6,162,,
cell109,5407,10,334.0833333,,
cell110,5260,10,40,,
cell111,713,2,130.0833333,,
cell112,3654,7,272,,
cell113,529,1,910,,
cell114,1954,4,316.0833333,,
cell115,665,2,34.08333333,,
cell116,3302,6,716,,
cell117,1646,3,848,,
cell118,435,1,722,,
cell119,4335,8,486.0833333,,
cell120,4704,9,76,,
cell121,5273,10,66,,
cell122,3661,7,286,,
cell123,3536,7,36.08333333,,
cell124,212,1,276,,
cell125,2526,5,312.0833333,,
cell126,2230,4,868,,
cell127,3089,6,290,,
cell128,3020,6,152.0833333,,
cell129,4670,9,8.083333333,,
cell130,3970,7,904,,
cell131,4464,8,744,,
cell132,298,1,448.0833333,,
cell133,4451,8,718,,
cell134,4715,9,98.08333333,,
cell135,3560,7,84.08333333,,
cell136,932,2,568.0833333,,
cell137,3652,7,268,,
cell138,3539,7,42,,
cell139,3270,6,652,,
cell140,2670,5,600.0833333,,
cell141,5425,10,370.0833333,,
cell142,337,1,526.0833333,,
cell143,740,2,184,,
cell144,2194,4,796,,
cell145,2405,5,70,,
cell146,3787,7,538.0833333,,
cell147,4734,9,136.0833333,,
cell148,1580,3,716,,
cell149,300,1,452.0833333,,
cell150,203,1,258,,
cell151,4118,8,52,,
cell152,140,1,132.0833333,,
cell153,3077,6,266,,
cell154,3014,6,140.0833333,,
cell155,3303,6,718,,
cell156,2761,5,782,,
cell157,5306,10,132.0833333,,
cell158,3016,6,144.0833333,,
cell159,2081,4,570.0833333,,
cell160,1818,4,44,,
cell161,3594,7,152.0833333,,
cell162,4680,9,28.08333333,,
cell163,2090,4,588.0833333,,
cell164,1883,4,174,,
cell165,1627,3,810,,
cell166,139,1,130.0833333,,
cell167,1352,3,260,,
cell168,3970,7,904,,
cell169,5589,10,698,,
cell170,1836,4,80.08333333,,
cell171,3443,6,998,,
cell172,3841,7,646,,
cell173,161,1,174,,
cell174,4134,8,84.08333333,,
cell175,2441,5,142.0833333,,
cell176,4271,8,358.0833333,,
cell177,1431,3,418.0833333,,
cell178,1500,3,556.0833333,,
cell179,3159,6,430.0833333,,
cell180,2818,5,896,,
cell181,670,2,44,,
cell182,754,2,212,,
cell183,3661,7,286,,
cell184,922,2,548.0833333,,
cell185,129,1,110.0833333,,
cell186,539,1,930,,
cell187,4741,9,150.0833333,,
cell188,2975,6,62,,
cell189,4116,8,48,,
cell190,2192,4,792,,
cell191,4675,9,18,,
cell192,4861,9,390.0833333,,
cell193,3548,7,60,,
cell194,3188,6,488.0833333,,
cell195,1813,4,34.08333333,,
cell196,3111,6,334.0833333,,
cell197,3147,6,406.0833333,,
cell198,2445,5,150.0833333,,
